body,gm_km3_s2,date,x_au,y_au,z_au,vx_au_d,vy_au_d,vz_au_d
Jupiter Barycenter,,2461041.500000000,-1.697070346353225,4.923349385564657,0.01755792409730332,-0.00722343982789003,-0.00210136204696616,0.0001703650410958014
Moon,,2461041.500000000,-0.1763840391885575,0.9644274663123614,0.0002844946205616522,-0.01777741124760916,-0.002873359211769047,3.327021959334017e-06
Mars Barycenter,,2461041.500000000,0.3375123606947087,-1.392535345017499,-0.03728554259370234,0.01412658804156271,0.004540381003546958,-0.0002512212534152572
Mercury Barycenter,,2461041.500000000,-0.2182686205450464,-0.4147409447718479,-0.01357158539794414,0.01923902835424443,-0.01173744846416334,-0.002723291810929642
Neptune Barycenter,,2461041.500000000,29.8690527247216,0.5134061341695503,-0.6989354910096494,-7.462115765231789e-05,0.003157285164825036,-6.32992143360024e-05
Saturn Barycenter,,2461041.500000000,9.504276049054493,0.2522051287305764,-0.3828038443137736,-0.0004559084781779595,0.005564849965275845,-7.862514484979138e-05
Sun,,2461041.500000000,-0.003067316167378726,-0.005533329071575707,0.00013168419397952,7.176071432730415e-06,1.778134123198417e-07,-1.358857619127603e-07
Earth,,2461041.500000000,-0.1773487970879621,0.9622255911830275,7.223908380425527e-05,-0.01719737129724856,-0.003116429209131983,1.012925163112427e-07
Uranus Barycenter,,2461041.500000000,9.877250659026895,16.79448208074637,-0.0655881149433342,-0.003419224980854433,0.001810555427714117,5.101817757255198e-05
Venus Barycenter,,2461041.500000000,0.08580993344897782,-0.7272957113886563,-0.01491237238108241,0.01994573625940069,0.002400543706150917,-0.001117607682227194
